Date,Price,Return,EWMA_sigma,GARCH_sigma,pos_ewma_raw,pos_garch_raw,pos_ewma,pos_garch,r_simple,pos_ewma_shift,pos_garch_shift,strat_ewma_gross,strat_garch_gross,turn_ewma,turn_garch,cost_ewma,cost_garch,strat_ewma,strat_garch,cum_ewma,cum_garch,cum_bench
2010-01-05,1136.52,0.0031108061622855104,0.010888435464756551,0.009726419473001796,0.578541141551227,0.6476594908303887,0.578541141551227,0.6476594908303887,0.003115649740951021,0.578541141551227,0.6476594908303887,0.0018025315578035885,0.0020178801248301706,0.0,0.0,0.0,0.0,0.0018025315578035885,0.0020178801248301706,1.0018025315578036,1.00201788012483,1.003115649740951
2010-01-06,1137.14,0.0005453761911345774,0.010584194450061701,0.008975718796036371,0.5951712162138515,0.701827678276742,0.5951712162138515,0.701827678276742,0.0005455249357688707,0.578541141551227,0.6476594908303887,0.0003156086190843823,0.0003533144021353473,0.0,0.0,0.0,0.0,0.0003156086190843823,0.0003533144021353473,1.0021187090713837,1.0023719074730753,1.0036628743413447
2010-01-07,1141.69,0.0039932825584234055,0.010262626756279567,0.008271332493132987,0.6138202268374026,0.7615952917763861,0.6138202268374026,0.7615952917763861,0.004001266334840103,0.5951712162138515,0.701827678276742,0.0023814385509023242,0.0028081994619477187,0.01663007466262445,0.05416818744635332,9.978044797574668e-06,3.250091246781199e-05,0.0023714605061047494,0.002775698549479907,1.0044951940123752,1.0051541897226879,1.0076787968119756
2010-01-08,1144.98,0.0028775488113092444,0.0099979495796822,0.007768981632564215,0.6300699791774061,0.8108408774044108,0.6300699791774061,0.8108408774044108,0.002881692928903501,0.6138202268374026,0.7615952917763861,0.001768841407295286,0.0021946837669982104,0.018649010623551066,0.0597676134996441,1.118940637413064e-05,3.586056809978646e-05,0.0017576520009211553,0.002158823198898424,1.0062607470000469,1.0073241399059312,1.0105826176753547
2010-01-11,1146.98,0.0017452315988401989,0.009718964619736172,0.007274198327001052,0.6481562728086279,0.8659934195228616,0.6481562728086279,0.8659934195228616,0.0017467554018411047,0.6300699791774061,0.8108408774044108,0.0011005781396660466,0.0014163406826397354,0.016249752340003587,0.049245585628024724,9.749851404002151e-06,2.954735137681483e-05,0.0010908282882620445,0.0013867933312629206,1.0073584046882422,1.008721090305573,1.012347858321786
2010-01-12,1136.22,-0.009425437682848987,0.009432577955305636,0.006809606045741689,0.6678352316127777,0.9250766991765088,0.6678352316127777,0.9250766991765088,-0.00938115747441104,0.6481562728086279,0.8659934195228616,-0.00608045606324506,-0.008124020640347668,0.018086293631221717,0.055152542118450776,1.085177617873303e-05,3.309152527107046e-05,-0.006091307839423793,-0.008157112165618739,1.0012222745406554,1.0004928392281252,1.0028508636439866
2010-01-13,1145.68,0.008291383667578442,0.009432149691387375,0.007630608394880481,0.6678655544704931,0.8255446430344284,0.6678655544704931,0.8255446430344284,0.008325852387741861,0.6678352316127777,0.9250766991765088,0.005560297557741384,0.007702052044683095,0.019678958804149826,0.059083279653647236,1.1807375282489896e-05,3.544996779218834e-05,0.005548490182458894,0.007666602076890907,1.0067775465014035,1.008163219707266,1.0112004519016058
2010-01-14,1148.46,0.0024235673156261114,0.009367622084610044,0.0077328312692203725,0.6724660566566134,0.8146314931972166,0.6724660566566134,0.8146314931972166,0.002426506528873551,0.6678655544704931,0.8255446430344284,0.0016205801283324058,0.0020031894661996256,3.0322857715425755e-05,0.09953205614208038,1.819371462925545e-08,5.9719233685248224e-05,0.0016205619346177766,0.0019434702325143774,1.0084090918698914,1.010122554914283,1.013654136400145
2010-01-15,1136.03,-0.010882186102969552,0.009101627525935768,0.007223882720343461,0.6921188397939255,0.8720252151584783,0.6921188397939255,0.8720252151584783,-0.010823189314386306,0.6724660566566134,0.8146314931972166,-0.007278227438693354,-0.008816910872334676,0.004600502186120292,0.01091314983721181,2.760301311672175e-06,6.547889902327086e-06,-0.007280987740005026,-0.008823458762237002,1.001066877635077,1.0012097802061912,1.0026831657825754
2010-01-19,1150.23,0.01242219397685807,0.009218164929442257,0.008256222831877042,0.6833689711243065,0.7629890825094116,0.6833689711243065,0.7629890825094116,0.012499669903083488,0.6921188397939255,0.8720252151584783,0.008651257031129194,0.010900027336646334,0.019652783137312113,0.05739372196126169,1.1791669882387267e-05,3.443623317675701e-05,0.008639465361246806,0.010865591103469577,1.0097155602486967,1.0120885162867064,1.0152163743722364
